Year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
2017-18,Pre%20Season,1628398,1,Kyle Kuzma,1610612747,LAL,6,167,37,73,0.507,8,34,0.235,22,28,0.786,2,23,25,11,2,0,12,10,104,88,0.92,0.17
2017-18,Pre%20Season,203200,2,Justin Holiday,1610612741,CHI,6,173,34,77,0.442,19,36,0.528,13,13,1.0,7,23,30,14,12,2,14,17,100,101,1.0,0.86
2017-18,Pre%20Season,203081,3,Damian Lillard,1610612757,POR,5,126,30,67,0.448,10,26,0.385,26,28,0.929,1,16,17,20,8,1,9,7,96,94,2.22,0.89
2017-18,Pre%20Season,201569,4,Eric Gordon,1610612745,HOU,5,127,31,63,0.492,23,47,0.489,10,11,0.909,1,4,5,8,3,1,6,5,95,73,1.33,0.5
2017-18,Pre%20Season,201935,5,James Harden,1610612745,HOU,5,159,29,78,0.372,12,50,0.24,24,27,0.889,5,20,25,52,11,4,24,14,94,110,2.17,0.46
2017-18,Pre%20Season,203932,6,Aaron Gordon,1610612753,ORL,5,120,37,69,0.536,9,21,0.429,9,15,0.6,9,28,37,3,2,2,6,8,92,92,0.5,0.33
2017-18,Pre%20Season,203501,7,Tim Hardaway Jr.,1610612752,NYK,5,136,34,67,0.507,16,37,0.432,5,6,0.833,0,16,16,7,9,1,15,11,89,73,0.47,0.6
2017-18,Pre%20Season,200746,8,LaMarcus Aldridge,1610612759,SAS,5,132,38,67,0.567,3,12,0.25,9,10,0.9,6,19,25,14,4,2,7,9,88,96,2.0,0.57
2017-18,Pre%20Season,203076,9,Anthony Davis,1610612740,NOP,4,85,19,47,0.404,3,7,0.429,41,48,0.854,12,24,36,7,4,7,10,6,82,91,0.7,0.4
2017-18,Pre%20Season,203613,9,Jonathon Simmons,1610612753,ORL,6,146,32,76,0.421,5,19,0.263,13,18,0.722,4,14,18,18,8,3,5,9,82,75,3.6,1.6
2017-18,Pre%20Season,201939,9,Stephen Curry,1610612744,GSW,4,98,27,52,0.519,13,26,0.5,15,17,0.882,2,17,19,17,5,1,6,7,82,91,2.83,0.83
2017-18,Pre%20Season,202331,12,Paul George,1610612760,OKC,4,127,25,63,0.397,12,29,0.414,19,23,0.826,2,23,25,8,8,3,13,16,81,70,0.61,0.61
2017-18,Pre%20Season,203944,13,Julius Randle,1610612747,LAL,6,128,31,62,0.5,2,8,0.25,16,24,0.667,7,38,45,9,10,5,16,15,80,94,0.56,0.63
2017-18,Pre%20Season,2772,13,Trevor Ariza,1610612745,HOU,5,148,28,53,0.528,19,40,0.475,5,5,1.0,3,29,32,7,5,1,4,3,80,96,1.75,1.25
2017-18,Pre%20Season,1626164,15,Devin Booker,1610612756,PHX,4,113,23,56,0.411,10,19,0.526,23,24,0.958,5,6,11,20,5,0,10,10,79,71,2.0,0.5
2017-18,Pre%20Season,1628370,16,Malik Monk,1610612766,CHA,5,141,26,73,0.356,11,38,0.289,14,17,0.824,1,12,13,12,1,0,4,4,77,49,3.0,0.25
2017-18,Pre%20Season,204020,17,Tyler Johnson,1610612748,MIA,6,102,27,48,0.563,8,17,0.471,13,18,0.722,2,14,16,9,3,2,10,7,75,69,0.9,0.3
2017-18,Pre%20Season,203458,18,Alex Len,1610612756,PHX,5,126,25,38,0.658,0,0,0.0,23,33,0.697,9,29,38,2,6,14,7,14,73,103,0.29,0.86
2017-18,Pre%20Season,203903,19,Jordan Clarkson,1610612739,CLE,6,114,25,48,0.521,3,11,0.273,18,20,0.9,0,13,13,10,5,0,11,8,71,63,0.91,0.46
2017-18,Pre%20Season,1628367,20,Josh Jackson,1610612756,PHX,5,150,27,60,0.45,6,15,0.4,10,13,0.769,3,26,29,8,5,4,24,16,70,56,0.33,0.21
2017-18,Pre%20Season,203994,20,Jusuf Nurkic,1610612757,POR,5,98,27,59,0.458,1,3,0.333,15,21,0.714,11,22,33,5,6,5,9,18,70,72,0.56,0.67
2017-18,Pre%20Season,203078,22,Bradley Beal,1610612764,WAS,5,95,25,48,0.521,5,17,0.294,14,15,0.933,1,12,13,11,2,1,5,5,69,67,2.2,0.4
2017-18,Pre%20Season,202397,22,Ish Smith,1610612765,DET,5,128,30,56,0.536,2,9,0.222,7,9,0.778,4,10,14,37,5,4,11,9,69,90,3.36,0.46
2017-18,Pre%20Season,201933,24,Blake Griffin,1610612765,DET,4,94,23,43,0.535,8,17,0.471,14,17,0.824,0,15,15,14,7,1,15,9,68,67,0.93,0.47
2017-18,Pre%20Season,1626156,24,D'Angelo Russell,1610612751,BKN,4,95,27,63,0.429,6,17,0.353,8,11,0.727,1,8,9,15,9,2,9,7,68,55,1.67,1.0
2017-18,Pre%20Season,1626196,24,Josh Richardson,1610612748,MIA,5,132,25,56,0.446,8,21,0.381,10,14,0.714,3,10,13,10,7,8,7,7,68,64,1.43,1.0
2017-18,Pre%20Season,203468,27,CJ McCollum,1610612757,POR,5,124,23,66,0.348,11,27,0.407,10,12,0.833,2,14,16,14,8,4,8,11,67,56,1.75,1.0
